cluster,cell_type,sub_type,notes
0,DAMa,,
1,AD non-DAM,,
2,Homeostatic,,
3,DAMb,,
4,Homeostatic,,
5,Homeostatic,,
6,DAMa,,
7,Homeostatic,,
8,Ifn-Responsive,,
